Id Person;Name;Profession;Known For Titles
nm0000005;Ingmar Bergman;writer,director,actor;tt0050986,tt0069467,tt0050976,tt0083922
nm0000019;Federico Fellini;writer,director,actor;tt0056801,tt0050783,tt0047528,tt0071129
nm0000033;Alfred Hitchcock;director,producer,writer;tt0054215,tt0052357,tt0053125,tt0034248
nm0000040;Stanley Kubrick;director,writer,producer;tt0062622,tt0072684,tt0066921,tt0093058
nm0000059;Laurence Olivier;actor,producer,director;tt0032976,tt0069281,tt0077269,tt0074860
nm0000076;François Truffaut;writer,director,producer;tt0070460,tt0075860,tt0053198,tt0055032
nm0000080;Orson Welles;actor,writer,director;tt0033467,tt0052311,tt0040525,tt0057427
nm0000091;Gérard Pirès;director,writer,actor;tt0152930,tt0064297,tt0282552,tt0421974
nm0000092;John Cleese;actor,writer,producer;tt0095159,tt0071853,tt0072500,tt0063929
nm0000095;Woody Allen;writer,director,actor;tt0075686,tt0079522,tt0118954,tt0091167
nm0000108;Luc Besson;writer,producer,director;tt0119116,tt2872732,tt0110413,tt0100263
nm0000110;Kenneth Branagh;actor,producer,director;tt0097499,tt0116477,tt0107616,tt3402236
nm0000118;John Carpenter;writer,music_department,composer;tt0080749,tt0077651,tt0069945,tt0096256
nm0000123;George Clooney;actor,producer,director;tt0465538,tt1193138,tt1124035,tt2177771
nm0000127;Wes Craven;writer,producer,director;tt0087800,tt0117571,tt0111686,tt0105121
nm0000142;Clint Eastwood;actor,producer,director;tt0405159,tt1205489,tt0105695,tt0186566
nm0000146;Ralph Fiennes;actor,producer,director;tt0387131,tt2278388,tt0108052,tt20215234
nm0000165;Ron Howard;producer,actor,writer;tt0367279,tt0075213,tt0268978,tt0112384
nm0000169;Tommy Lee Jones;actor,director,writer;tt2398231,tt0106977,tt0477348,tt0443272
nm0000180;David Lean;director,writer,editor;tt0056172,tt0059113,tt0050212,tt0038574
nm0000186;David Lynch;writer,director,producer;tt0098936,tt0460829,tt0105665,tt0166924
nm0000187;Madonna;music_artist,actress,composer;tt0104694,tt0116250,tt0089017,tt0156841
nm0000209;Tim Robbins;actor,producer,director;tt0327056,tt0105151,tt0091225,tt0112818
nm0000229;Steven Spielberg;producer,writer,director;tt0108052,tt0083866,tt0120815,tt0082971
nm0000230;Sylvester Stallone;actor,producer,writer;tt0075148,tt0089927,tt3076658,tt0095956
nm0000231;Oliver Stone;director,producer,writer;tt0102138,tt0091763,tt0096969,tt0110632
nm0000255;Ben Affleck;producer,actor,writer;tt1024648,tt2267998,tt0840361,tt0119217
nm0000264;Pedro Almodóvar;writer,director,producer;tt0287467,tt0101026,tt1189073,tt0095675
nm0000265;Robert Altman;director,producer,writer;tt0280707,tt0073440,tt0108122,tt0105151
nm0000269;Jean-Jacques Annaud;director,producer,writer;tt0091605,tt0215750,tt2909116,tt0120102
nm0000277;Richard Attenborough;actor,producer,director;tt0107290,tt0057115,tt0083987,tt0119567
nm0000316;Mel Brooks;actor,writer,producer;tt0094012,tt0395251,tt0082517,tt0071230
nm0000318;Tim Burton;producer,writer,miscellaneous;tt0099487,tt1142977,tt0121164,tt0408236
nm0000320;Luis Buñuel;writer,director,actor;tt0068361,tt0061395,tt0075824,tt0056732
nm0000338;Francis Ford Coppola;producer,director,writer;tt0078788,tt0071360,tt0071562,tt10128846
nm0000343;David Cronenberg;actor,director,writer;tt0091064,tt0094964,tt0120907,tt0115964
nm0000361;Brian De Palma;director,writer,producer;tt0086984,tt0080661,tt0099165,tt0120832
nm0000386;Roland Emmerich;writer,producer,director;tt0116629,tt0120685,tt0319262,tt1628841
nm0000389;Emilio Estevez;actor,director,producer;tt1441912,tt0308055,tt3294746,tt0100994
nm0000399;David Fincher;producer,director,writer;tt0114369,tt0443706,tt2267998,tt1285016
nm0000416;Terry Gilliam;director,writer,actor;tt0088846,tt0071853,tt1054606,tt0081633
nm0000425;Peter Greenaway;director,writer,editor;tt0097108,tt0446750,tt1702429,tt0092929
nm0000436;Curtis Hanson;director,producer,writer;tt0119488,tt0388125,tt0104389,tt0185014
nm0000464;Jim Jarmusch;director,writer,actor;tt1714915,tt0412019,tt5247022,tt0088184
nm0000466;Jean-Pierre Jeunet;director,writer,producer;tt0344510,tt0211915,tt0101700,tt0112682
nm0000484;John Landis;producer,director,actor;tt0080455,tt0067716,tt0086491,tt0118747
nm0000485;Fritz Lang;director,writer,producer;tt0057345,tt0022100,tt0017136,tt0027652
nm0000487;Ang Lee;director,producer,writer;tt0107156,tt0190332,tt0454876,tt0808357
nm0000500;Richard Linklater;producer,director,writer;tt0243017,tt2209418,tt0102943,tt1065073
nm0000517;Terrence Malick;producer,writer,director;tt0077405,tt0069762,tt0478304,tt5827916
nm0000518;John Malkovich;actor,producer,writer;tt0120601,tt0107206,tt0094947,tt0887883
nm0000519;David Mamet;writer,producer,director;tt0093223,tt0120202,tt0104348,tt0120885
nm0000520;Michael Mann;producer,writer,director;tt0140352,tt0369339,tt0104691,tt0083190
nm0000568;Frank Oz;actor,miscellaneous,director;tt0074028,tt0063951,tt0080684,tt0086190
nm0000570;Alan Parker;director,writer,producer;tt0116250,tt0095647,tt0077928,tt0092563
nm0000583;Wolfgang Petersen;director,writer,producer;tt0082096,tt0089092,tt0088323,tt0114069
nm0000591;Roman Polanski;director,actor,writer;tt0071315,tt0074811,tt1139328,tt1692486
nm0000600;Sam Raimi;producer,writer,actor;tt0145487,tt0083907,tt0106308,tt0099365
nm0000614;Alan Rickman;actor,writer,director;tt0095016,tt0102798,tt0177789,tt0408236
nm0000631;Ridley Scott;producer,director,production_designer;tt3659388,tt0083658,tt0103074,tt0172495
nm0000682;Paul Verhoeven;director,producer,writer;tt0093870,tt0389557,tt3716530,tt0120201
nm0000697;Billy Wilder;writer,director,producer;tt0053604,tt0053291,tt0047437,tt0043014
nm0000709;Robert Zemeckis;producer,writer,director;tt0088763,tt0109830,tt0118884,tt1907668
nm0000720;Jim Abrahams;writer,producer,director;tt0080339,tt0088286,tt0102059,tt0083466
nm0000736;Robert Aldrich;director,assistant_director,producer;tt0070030,tt0071771,tt0056687,tt0061578
nm0000766;Theodoros Angelopoulos;director,writer,producer;tt0096288,tt0156794,tt0114863,tt0081148
nm0000774;Michelangelo Antonioni;writer,director,editor;tt0053619,tt0060176,tt0073580,tt0047821
nm0000776;Michael Apted;director,producer,miscellaneous;tt0454776,tt0384766,tt0095243,tt0157583
nm0000777;Gregg Araki;writer,director,producer;tt0370986,tt2238050,tt1523483,tt0119809
nm0000783;Dario Argento;writer,producer,director;tt0073582,tt0065143,tt0087909,tt0084777
nm0000788;Gillian Armstrong;director,producer,writer;tt0079596,tt0117206,tt0110367,tt0245046
nm0000791;Jack Arnold;director,producer,writer;tt0046876,tt0050539,tt0045920,tt2402723
nm0000801;Olivier Assayas;writer,director,producer;tt4714782,tt2452254,tt0401711,tt1321865
nm0000806;Bille August;director,writer,cinematographer;tt0093713,tt0107151,tt0438859,tt0119683
nm0000824;John Badham;director,producer,actor;tt0086567,tt0091949,tt0076666,tt0113972
nm0000850;Clive Barker;writer,producer,actor;tt0100260,tt0093177,tt0103919,tt0805570
nm0000877;Lamberto Bava;director,assistant_director,producer;tt0089013,tt0101493,tt0090930,tt0088100
nm0000878;Mario Bava;cinematographer,special_effects,director;tt0067656,tt0068863,tt0055022,tt0059792
nm0000894;Jean-Jacques Beineix;assistant_director,producer,director;tt0090563,tt0082269,tt0104473,tt0098226
nm0000905;Roberto Benigni;actor,writer,director;tt0118799,tt0419198,tt0090967,tt0102164
nm0000914;Robert Benton;writer,director,producer;tt0079417,tt0061418,tt0078346,tt0087921
nm0000934;Bernardo Bertolucci;writer,director,producer;tt0065571,tt0093389,tt0070849,tt0117737
nm0000941;Kathryn Bigelow;director,producer,actress;tt0887912,tt1790885,tt5390504,tt0093605
nm0000958;John Boorman;producer,director,writer;tt0093209,tt0082348,tt0120706,tt0068473
nm0000965;Danny Boyle;director,producer,writer;tt1542344,tt0289043,tt0111149,tt1010048
nm0000972;Tinto Brass;actor,writer,director;tt0065161,tt0080491,tt0057942,tt0104014
nm0000975;Robert Bresson;writer,director,assistant_director;tt0049902,tt0060138,tt0042619,tt0061996
nm0001024;Nick Cassavetes;actor,director,writer;tt0119094,tt0138304,tt1078588,tt0426883
nm0001031;Claude Chabrol;director,writer,actor;tt0051404,tt0112769,tt0096336,tt0064106
nm0001053;Ethan Coen;producer,writer,director;tt6412452,tt2042568,tt1019452,tt0116282
nm0001054;Joel Coen;producer,writer,director;tt6412452,tt10095582,tt2042568,tt0116282
nm0001060;Chris Columbus;producer,writer,director;tt0241527,tt0295297,tt1454029,tt2120120
nm0001064;Jason Connery;actor,director,producer;tt3467914,tt1937506,tt0184894
nm0001068;Sofia Coppola;director,actress,writer;tt0099674,tt0159097,tt5592248,tt0335266
nm0001090;Joe D'Amato;director,cinematographer,camera_department;tt0068972,tt0074472,tt0085183,tt0089091
nm0001093;John Dahl;director,art_department,writer;tt0110308,tt0097662,tt0128442,tt0105226
nm0001120;Vittorio De Sica;actor,director,writer;tt0040522,tt0045274,tt0047313,tt0043809
nm0001149;Richard Donner;director,producer,actor;tt0078346,tt0089457,tt0093409,tt0118883
nm0001175;Blake Edwards;writer,producer,director;tt0075066,tt0084865,tt0072081,tt0051301
nm0001206;Abel Ferrara;director,actor,writer;tt0103759,tt0099939,tt0133122,tt13432484
nm0001232;Milos Forman;director,writer,actor;tt0073486,tt0086879,tt0117318,tt0079261
nm0001238;Jesús Franco;writer,director,actor;tt0067846,tt0086428,tt0072904,tt0109441
nm0001239;John Frankenheimer;director,miscellaneous,producer;tt0056218,tt0116654,tt0058576,tt0119189
nm0001241;Stephen Frears;director,producer,actor;tt0094947,tt2431286,tt0436697,tt0301199
nm0001243;William Friedkin;director,writer,producer;tt0067116,tt0090180,tt0070047,tt0080569
nm0001270;Brian Gibson;director,producer,writer;tt0080469,tt0318224,tt0120679,tt0165592
nm0001282;Tony Goldwyn;actor,director,writer;tt0099653,tt0216216,tt0325710,tt0472399
nm0001317;Renny Harlin;producer,director,writer;tt0132245,tt1905040,tt0106582,tt0112760
nm0001331;Todd Haynes;director,producer,writer;tt0297884,tt0368794,tt2402927,tt0120879
nm0001338;Brian Helgeland;director,writer,producer;tt7991508,tt3569230,tt0453562,tt0183790
nm0001345;Jim Henson;actor,writer,producer;tt0074028,tt0063951,tt0083791,tt0079588
nm0001348;Werner Herzog;director,writer,producer;tt0083946,tt0068182,tt0790724,tt0427312
nm0001355;Michael Hoffman;director,writer,producer;tt0140379,tt0824758,tt0095916,tt0117247
nm0001361;Tobe Hooper;director,writer,producer;tt0072271,tt0092076,tt0084516,tt0089489
nm0001379;John Huston;actor,director,writer;tt0040897,tt0071315,tt0042208,tt0089841
nm0001382;Peter Hyams;director,cinematographer,writer;tt0086837,tt0082869,tt0111438,tt0120004
nm0001402;Terry Jones;writer,actor,producer;tt0085959,tt0071853,tt0079470,tt0118172
nm0001403;Neil Jordan;writer,producer,director;tt0104036,tt2639336,tt0411195,tt0117039
nm0001425;Krzysztof Kieslowski;writer,director,actor;tt0101765,tt0108394,tt0111495,tt0095467
nm0001437;Emir Kusturica;director,writer,actor;tt0106307,tt0114787,tt0118843,tt0097223
nm0001438;Neil LaBute;writer,producer,director;tt0119361,tt0119517,tt4277268,tt18224610
nm0001466;Sergio Leone;assistant_director,writer,director;tt0087843,tt0067140,tt0064116,tt0060196
nm0001486;Sidney Lumet;director,writer,producer;tt0050083,tt0292963,tt0071877,tt0070666
nm0001490;Adrian Lyne;director,writer,producer;tt0099871,tt0085549,tt0107211,tt0093010
nm0001501;Louis Malle;director,writer,producer;tt0092593,tt0051378,tt0071733,tt0080388
nm0001522;Roddy McDowall;actor,producer,director;tt0089175,tt0033729,tt0056937,tt0068408
nm0001565;Mike Newell;director,producer,executive;tt0109831,tt0330373,tt0119008,tt0104522
nm0001596;Pier Paolo Pasolini;writer,director,actor;tt0065622,tt0073650,tt0058715,tt0050783
nm0001603;Sam Peckinpah;writer,director,producer;tt0065214,tt0067800,tt0086058,tt0049366
nm0001628;Sydney Pollack;director,producer,actor;tt0084805,tt0465538,tt0120663,tt0089755
nm0001676;Nicolas Roeg;camera_department,director,cinematographer;tt0069995,tt0067959,tt0074851,tt0100944
nm0001681;George A. Romero;producer,writer,director;tt0418819,tt0848557,tt0063350,tt0095652
nm0001692;Ken Russell;director,writer,actor;tt0066993,tt0066858,tt0073812,tt0080360
nm0001707;Paul Schrader;writer,director,producer;tt6053438,tt11196036,tt0118564,tt0075314
nm0001708;Joel Schumacher;director,writer,producer;tt0293508,tt0118688,tt0134273,tt0183649
nm0001709;Til Schweiger;actor,producer,director;tt0361748,tt0119472,tt0960790,tt1700258
